id,tl_x,tl_y,tr_x,tr_y,bl_x,bl_y,br_x,br_y
1,648.125,471.56,607.859,476.426,649.162,416.585,607.851,421.844
3,391.772,392.756,350.006,392.67,393.137,352.627,351.051,350.696
4,335.026,350.753,333.769,393.088,287.884,348.693,286.583,393.156
0,714.003,405.139,671.801,406.209,714.883,347.166,671.888,344.769
2,466.462,311.144,427.489,307.218,468.038,270.977,428.766,265.598
