0.09	 1
0.15	 1
0.15	 1
0.15	 1
0.3	 1
0.3	 1
0.15	 1
0.15	 1
0.15	 1
0.15	 1
0.15	 10
0	 8
0.6	 1
0.3	 10
0.3	 10
0.6	 1
0.3	 10
0.3	 10
0.6	 1
0.3	 10
0.3	 10
0.6	 1
0.3	 10
0.3	 10
0	 8
0.6	 1
0.3	 10
0.3	 10
0.6	 1
0.3	 10
0.3	 10
0.6	 1
0.3	 10
0.3	 10
0.6	 1
0.3	 10
0.3	 10
0	 8
0.09	 1
0.15	 1
0.15	 1
0.15	 1
0.3	 1
0.3	 1
0.15	 1
0.15	 1
0.15	 1
0.15	 1
0.15	 10
0	 8
0.6	 1
0.3	 10
0.3	 10
0.6	 1
0.3	 10
0.3	 10
0.6	 1
0.3	 10
0.3	 10
0.6	 1
0.3	 10
0.3	 10
0	 8
0.6	 1
0.3	 10
0.3	 10
0.6	 1
0.3	 10
0.3	 10
0.6	 1
0.3	 10
0.3	 10
0.6	 1
0.3	 10
0.3	 10
0	 8
