frame_idx,marker_id,world_x,world_y,world_z
40,1,-0.700166,-0.00217447,0.0678985
40,0,-0.79644,-0.00210145,0.0648426
41,2,-0.610913,-0.00294727,0.0593246
41,1,-0.700166,-0.00217447,0.0678985
41,0,-0.79644,-0.00210145,0.0648426
42,2,-0.610913,-0.00294727,0.0593246
42,1,-0.700166,-0.00217447,0.0678985
42,0,-0.79644,-0.00210145,0.0648426
43,2,-0.610913,-0.00294727,0.0593246
43,1,-0.700166,-0.00217447,0.0678985
43,0,-0.79644,-0.00210145,0.0648426
44,2,-0.610913,-0.00294727,0.0593246
44,1,-0.700166,-0.00217447,0.0678985
44,0,-0.79644,-0.00210145,0.0648426
45,2,-0.610913,-0.00294727,0.0593246
45,1,-0.700166,-0.00217447,0.0678985
45,0,-0.79644,-0.00210145,0.0648426
46,2,-0.610913,-0.00294727,0.0593246
46,1,-0.700166,-0.00217447,0.0678985
46,0,-0.79644,-0.00210145,0.0648426
47,2,-0.610913,-0.00294727,0.0593246
47,1,-0.700166,-0.00217447,0.0678985
47,0,-0.79644,-0.00210145,0.0648426
48,2,-0.610913,-0.00294727,0.0593246
48,1,-0.700166,-0.00217447,0.0678985
48,0,-0.79644,-0.00210145,0.0648426
49,2,-0.610913,-0.00294727,0.0593246
49,1,-0.700166,-0.00217447,0.0678985
49,0,-0.79644,-0.00210145,0.0648426
50,2,-0.610913,-0.00294727,0.0593246
50,1,-0.700166,-0.00217447,0.0678985
50,0,-0.79644,-0.00210145,0.0648426
51,2,-0.610913,-0.00294727,0.0593246
51,1,-0.700166,-0.00217447,0.0678985
51,0,-0.79644,-0.00210145,0.0648426
52,2,-0.610913,-0.00294727,0.0593246
52,1,-0.700166,-0.00217447,0.0678985
52,0,-0.79644,-0.00210145,0.0648426
53,2,-0.610913,-0.00294727,0.0593246
53,1,-0.700166,-0.00217447,0.0678985
53,0,-0.79644,-0.00210145,0.0648426
54,2,-0.610913,-0.00294727,0.0593246
54,1,-0.700166,-0.00217447,0.0678985
