0.006506,0.999828,-0.014525,0.015843,-0.006176125,0.99957775,-0.012741125,0.002727125
0.742371,0.004765,0.66934,0.118126,0.751331125,0.012880125,0.65911775,0.13247125
0.669366,-0.015307,-0.742232,1.019877,0.659199875,-0.00555425,-0.751129,1.034466125
0,0,0,1,0,0,0,1
-0.01193,0.999614,0.004057,-0.007221,,,,
0.747149,0.006754,0.663721,0.126104,,,,
0.663646,0.010825,-0.747071,1.033822,,,,
0,0,0,1,,,,
-0.00517,0.999387,-0.031616,0.025937,,,,
0.769755,0.024129,0.637864,0.159212,,,,
0.638236,-0.021039,-0.769432,1.045775,,,,
0,0,0,1,,,,
-0.006845,0.99994,0.005499,-0.013204,,,,
0.758531,0.001557,0.651458,0.141773,,,,
0.651434,0.008571,-0.758508,1.040582,,,,
0,0,0,1,,,,
-0.004757,0.999453,-0.027738,0.016888,,,,
0.754812,0.021917,0.654927,0.138765,,,,
0.655353,-0.017546,-0.754534,1.037515,,,,
0,0,0,1,,,,
-0.026813,0.99925,0.012074,-0.033661,,,,
0.737811,0.01067,0.673694,0.115186,,,,
0.673069,0.026957,-0.737537,1.018847,,,,
0,0,0,1,,,,
-0.001091,0.999323,-0.034393,0.019102,,,,
0.74758,0.023689,0.663659,0.124657,,,,
0.664105,-0.024948,-0.747156,1.0376,,,,
0,0,0,1,,,,
0.000691,0.999827,-0.015287,-0.001867,,,,
0.75264,0.00956,0.658279,0.135947,,,,
0.65839,-0.011947,-0.752562,1.041711,,,,
0,0,0,1,,,,
