id,tl_x,tl_y,tr_x,tr_y,bl_x,bl_y,br_x,br_y
4,300.748,234.326,319.276,275.548,254.48,246.797,274.765,289.689
3,374.482,258.39,334.607,270.68,357.959,218.597,316.343,229.756
1,644.384,235.944,607.347,251.052,629.258,184.637,588.492,197.633
2,411.026,149.441,370.49,157.841,394.394,106.307,352.043,113.085
0,685.918,140.387,644.277,152.223,667.869,79.1932,623.44,87.7871
