Duration,ID,Velocity,Time
0.0,38,86,0.0
0.6,38,87,0.6
0.6,38,87,1.2
0.6,38,87,1.8
0.6,0,0,2.4
0.6,0,0,3.0
0.6,0,0,3.5999999999999996
0.6,0,0,4.2
0.6,43,69,4.8
0.6,43,82,5.4
0.6,43,69,6.0
0.6,43,85,6.6
0.6,0,0,7.199999999999999
0.6,0,0,7.8
0.6,0,0,8.399999999999999
0.6,0,0,9.0
0.6,45,79,9.6
0.6,45,83,10.2
0.15,51,30,10.35
0.45,45,70,10.8
0.6,45,84,11.4
0.6,0,0,12.0
0.6,0,0,12.6
0.6,0,0,13.2
0.6,0,0,13.8
0.6,48,70,14.4
0.6,48,103,15.0
0.6,48,70,15.6
0.6,48,100,16.2
0.6,0,0,16.8
0.6,0,0,17.4
0.6,0,0,18.0
0.6,0,0,18.599999999999998
0.6,46,75,19.2
0.6,26,127,19.8
0.15,46,14,19.95
0.45,46,76,20.4
0.6,26,127,21.0
0.6,42,66,21.6
0.6,22,127,22.2
0.6,42,67,22.8
0.6,22,127,23.4
0.6,0,0,24.0
0.6,0,0,24.599999999999998
0.6,0,0,25.2
0.6,0,0,25.799999999999997
0.6,49,100,26.4
0.6,49,127,27.0
0.6,49,97,27.6
0.6,49,127,28.2
0.6,0,0,28.8
0.6,0,0,29.4
0.6,0,0,30.0
0.6,0,0,30.599999999999998
0.6,51,70,31.2
0.0,57,18,31.2
0.15,43,29,31.35
0.0,40,78,31.35
0.15,38,66,31.5
0.6,38,15,32.1
