id,tl_x,tl_y,tr_x,tr_y,bl_x,bl_y,br_x,br_y
1,653.429,422.794,614.133,429.606,651,372,610.115,375.881
4,332.125,326.583,335.242,368.47,284.868,327.786,288.189,371.387
3,392.991,364.998,351.459,367.401,390.386,324.709,348.589,325.725
0,714.931,351.083,672.775,354.204,711.823,292.951,668.638,292.744
2,460.508,277.452,420.84,276.143,458.258,236.768,418.768,233.78
