id,tl_x,tl_y,tr_x,tr_y,bl_x,bl_y,br_x,br_y
1,639.087,520.041,597.941,523.203,644.243,466.315,602.079,467.593
0,709.544,458.948,666.763,457.953,714.05,400.936,671.176,396.329
3,387.791,420.326,346.06,417.922,392.574,380.2,350.97,376.023
4,335.049,374.874,329.711,417.288,288,370.422,282.429,414.215
2,469.073,344.014,430.524,337.822,473.93,304.374,435.605,296.744
