2.402	11
0.001	10
0.061	10
0.242	1
0.035	1
0.112	1
0.025	1
0.127	1
0.026	1
0.097	1
0.102	1
0.077	11
0.004	10
0.061	10
0.027	1
0.09	1
0.031	1
0.097	7
0.001	10
0.059	10
0.245	5
0.301	5
0.001	1
0.104	1
0.099	1
0.09	1
0.01	10
0.003	5
0.06	10
0.018	1
0.092	1
0.074	1
0.062	5
0.001	10
0.061	10
0.244	5
0.302	5
0.001	1
0.033	1
0.073	1
0.1	1
0.075	1
0.024	5
0.078	1
0.037	1
0.043	1
0.026	1
0.12	10
0.003	5
0.06	10
0.244	5
0.304	5
0.001	1
0.265	1
0.034	10
0.003	5
0.008	1
0.053	10
0.242	10
0.004	5
0.005	1
0.052	10
0.098	1
0.044	1
0.06	1
0.036	1
0.011	5
0.303	11
0.001	1
0.034	1
0.078	1
0.092	1
0.102	11
0.001	10
0.002	1
0.059	10
0.007	1
0.021	1
0.078	1
0.041	1
0.024	1
0.078	7
0.001	10
0.061	10
0.245	5
0.301	5
0.001	1
0.105	1
0.094	1
0.091	1
0.012	10
0.003	5
0.059	10
0.015	1
0.027	1
0.064	1
0.025	1
0.038	1
0.079	5
0.001	10
0.059	10
0.243	5
0.303	5
0.001	1
0.033	1
0.072	1
0.1	1
0.071	1
0.027	5
0.076	1
0.223	10
0.003	5
0.061	10
0.244	5
0.303	5
0.001	1
0.264	1
0.036	10
0.004	5
0.005	1
0.056	10
0.242	10
0.004	5
0.059	10
0.096	1
0.042	1
0.061	1
0.036	1
0.01	11
0.305	11
0.001	1
0.032	1
0.077	1
0.091	1
0.102	1
0.001	10
0.002	7
0.061	10
0.002	1
0.025	1
0.027	1
0.045	1
0.039	1
0.109	7
0.002	10
0.061	10
0.243	5
0.301	5
0.001	1
0.032	1
0.075	1
0.095	1
0.096	1
0.004	10
0.003	5
0.059	10
0.008	1
0.021	1
0.08	1
0.059	1
0.026	1
0.052	5
0.001	10
0.061	10
0.242	5
0.304	5
0.001	1
0.104	1
0.101	1
0.071	1
0.028	5
0.077	1
0.036	1
0.041	1
0.02	1
0.134	5
0.001	10
0.06	10
0.242	5
0.303	5
0.001	1
0.267	1
0.033	10
0.003	5
0.006	1
0.055	10
0.241	10
0.003	5
0.06	10
0.096	1
0.042	1
0.061	1
0.035	1
0.013	5
0.304	11
0.001	1
0.108	1
0.091	1
0.104	11
0.001	10
0.002	1
0.058	10
0.003	1
0.024	1
0.021	1
0.052	1
0.036	1
0.036	1
0.076	7
0.001	10
0.061	10
0.242	5
0.301	5
0.002	1
0.105	1
0.095	1
0.093	1
0.009	10
0.003	5
0.059	10
0.012	1
0.092	1
0.062	1
0.026	1
0.056	5
0.001	10
0.062	10
0.241	5
0.303	5
0.001	1
0.033	1
0.073	1
0.101	1
0.067	1
0.032	5
0.074	1
0.031	1
0.036	1
0.161	5
0.001	10
0.061	10
0.242	5
0.303	5
0.001	1
0.032	1
0.03	1
0.032	1
0.021	1
0.024	1
0.036	1
0.131	10
0.003	5
0.062	10
0.243	5
0.001	10
0.06	10
0.083	1
0.02	1
0.02	1
0.079	1
0.042	11
0.297	1
0.006	11
0.021	1
0.28	7
0.001	10
0.061	10
0.239	7
