bpm	152
1	0.3	0	0	0	0	0	0	
1	0.3	0	0	0	0	0	0	
1	0.3	0	0	0	0	0	0	
1	0.3	0	0	0	0	0	0	
2	0.3	2	0	5	0	0	0	
2	0.15	2	0	5	0	0	0	
2	0.15	0	1	0	5	0	0	
2	0.15	2	0	5	0	0	0	
2	0.15	0	0	0	0	0	0	
2	0.15	2	0	5	0	0	0	
2	0.15	0	1	0	5	0	0	
3	0.3	2	0	5	0	0	0	
3	0.15	2	0	5	0	0	0	
3	0.15	0	1	0	5	0	0	
3	0.15	2	0	5	0	0	0	
3	0.15	0	0	0	0	0	0	
3	0.15	2	0	5	0	0	0	
3	0.15	0	1	0	5	0	0	
4	0.3	2	0	5	0	0	0	
4	0.15	2	0	5	0	0	0	
4	0.15	0	1	0	5	0	0	
4	0.15	2	0	5	0	0	0	
4	0.15	0	0	0	0	0	0	
4	0.15	2	0	5	0	0	0	
4	0.15	0	1	0	5	0	0	
5	0.3	2	0	5	0	0	0	
5	0.15	2	0	5	0	0	0	
5	0.15	0	1	0	5	0	0	
5	0.15	2	0	5	0	0	0	
5	0.15	0	0	0	0	0	0	
5	0.15	2	0	5	0	0	0	
5	0.15	0	1	0	5	0	0	
6	0.3	2	0	5	0	0	0	
6	0.15	2	0	5	0	0	0	
6	0.15	0	1	0	5	0	0	
6	0.15	2	0	5	0	0	0	
6	0.15	0	0	0	0	0	0	
6	0.15	2	0	5	0	0	0	
6	0.15	0	1	0	5	0	0	
7	0.3	2	0	5	0	0	0	
7	0.15	2	0	5	0	0	0	
7	0.15	0	1	0	5	0	0	
7	0.15	2	0	5	0	0	0	
7	0.15	0	0	0	0	0	0	
7	0.15	2	0	5	0	0	0	
7	0.15	0	1	0	5	0	0	
8	0.3	2	0	5	0	0	0	
8	0.15	2	0	5	0	0	0	
8	0.15	0	1	0	5	0	0	
8	0.15	2	0	5	0	0	0	
8	0.15	0	0	0	0	0	0	
8	0.15	2	0	5	0	0	0	
8	0.15	0	1	0	5	0	0	
9	0.3	2	0	5	0	0	0	
9	0.15	2	0	5	0	0	0	
9	0.15	0	1	0	5	0	0	
9	0.15	2	0	5	0	0	0	
9	0.15	0	0	0	0	0	0	
9	0.15	2	0	5	0	0	0	
9	0.15	0	1	0	5	0	0	
10	0.3	2	0	5	0	0	0	
10	0.15	2	0	5	0	0	0	
10	0.15	0	1	0	5	0	0	
10	0.15	2	0	5	0	0	0	
10	0.15	0	0	0	0	0	0	
10	0.15	2	0	5	0	0	0	
10	0.15	0	1	0	5	0	0	
11	0.3	2	0	5	0	0	0	
11	0.15	2	0	5	0	0	0	
11	0.15	0	1	0	5	0	0	
11	0.15	2	0	5	0	0	0	
11	0.15	0	0	0	0	0	0	
11	0.15	2	0	5	0	0	0	
11	0.15	0	1	0	5	0	0	
12	0.3	2	0	5	0	0	0	
12	0.15	2	0	5	0	0	0	
12	0.15	0	1	0	5	0	0	
12	0.15	2	0	5	0	0	0	
12	0.15	0	0	0	0	0	0	
12	0.15	2	0	5	0	0	0	
12	0.15	0	1	0	5	0	0	
13	0.3	2	0	5	0	0	0	
13	0.15	2	0	5	0	0	0	
13	0.15	0	1	0	5	0	0	
13	0.15	2	0	5	0	0	0	
13	0.15	0	0	0	0	0	0	
13	0.15	2	0	5	0	0	0	
13	0.15	0	1	0	5	0	0	
14	0.3	2	0	5	0	0	0	
14	0.15	2	0	5	0	0	0	
14	0.15	0	1	0	5	0	0	
14	0.15	2	0	5	0	0	0	
14	0.15	0	0	0	0	0	0	
14	0.15	2	0	5	0	0	0	
14	0.15	0	1	0	5	0	0	
15	0.3	2	0	5	0	0	0	
15	0.15	2	0	5	0	0	0	
15	0.15	0	1	0	5	0	0	
15	0.15	2	0	5	0	0	0	
15	0.15	0	0	0	0	0	0	
15	0.15	2	0	5	0	0	0	
15	0.15	0	1	0	5	0	0	
