bpm	107
1	0.600	8	0	5	0	1	0	
1	0.150	0	1	0	2	0	0	
1	0.150	0	1	0	2	0	0	
1	0.150	1	0	2	0	0	0	
1	0.150	0	1	0	5	0	0	
1	0.300	7	0	5	0	1	0	
1	0.150	0	1	0	2	0	0	
1	0.150	0	1	0	2	0	0	
1	0.150	1	0	2	0	0	0	
1	0.150	0	1	0	5	0	0	
1	0.300	8	0	5	0	1	0	
1	0.150	0	1	0	2	0	0	
1	0.150	0	1	0	2	0	0	
1	0.150	1	0	2	0	0	0	
2	0.150	0	1	0	5	0	0	
2	0.300	7	0	5	0	1	0	
2	0.150	0	1	0	2	0	0	
2	0.150	0	1	0	2	0	0	
2	0.150	1	0	2	0	0	0	
2	0.150	0	1	0	5	0	0	
2	0.300	8	0	5	0	1	0	
2	0.150	0	1	0	5	0	0	
2	0.150	1	0	5	0	0	0	
2	0.150	0	4	0	5	0	0	
2	0.150	3	0	5	0	0	0	
2	0.150	0	3	0	5	0	0	
2	0.150	2	0	5	0	0	0	
2	0.150	0	2	0	5	0	0	
3	0.150	7	0	5	0	1	0	
3	0.300	6	0	5	0	0	0	
3	0.300	6	1	5	5	0	0	
3	0.300	6	0	5	0	0	0	
3	0.150	0	0	0	0	1	0	
3	0.150	6	0	5	0	0	0	
3	0.300	6	0	5	0	1	0	
3	0.300	6	1	5	5	0	0	
3	0.300	6	0	5	0	0	0	
4	0.250	0	1	0	5	0	0	
4	0.050	1	0	5	0	0	0	
4	0.150	0	0	0	0	1	0	
4	0.150	1	0	5	0	0	0	
4	0.150	0	4	0	5	0	0	
4	0.150	2	0	5	0	0	0	
4	0.150	0	0	0	0	1	0	
4	0.100	0	1	0	5	0	0	
4	0.050	1	0	5	0	0	0	
4	0.150	0	0	0	0	1	0	
4	0.150	1	0	5	0	0	0	
4	0.150	0	4	0	5	0	0	
4	0.150	2	0	5	0	0	0	
4	0.150	0	0	0	0	1	0	
4	0.100	0	1	0	5	0	0	
4	0.050	1	0	5	0	0	0	
4	0.300	1	0	5	0	0	0	
4	0.150	0	1	0	5	0	0	
5	0.150	8	0	5	0	1	0	
5	0.150	0	1	0	2	0	0	
5	0.150	0	1	0	2	0	0	
5	0.150	8	0	5	0	1	0	
5	0.150	0	1	0	5	0	0	
5	0.150	1	0	5	0	0	0	
5	0.150	0	1	0	2	0	0	
5	0.150	0	1	0	2	0	0	
5	0.150	4	0	5	0	1	0	
5	0.150	0	1	0	2	0	0	
5	0.150	0	1	0	2	0	0	
5	0.150	3	0	5	0	0	0	
5	0.150	0	1	0	5	0	0	
5	0.150	2	0	5	0	0	0	
5	0.150	0	1	0	2	0	0	
5	0.150	0	1	0	2	0	0	
6	0.150	2	0	5	0	0	0	
6	0.150	0	1	0	2	0	0	
6	0.150	0	1	0	2	0	0	
6	0.150	3	0	5	0	0	0	
6	0.150	0	1	0	5	0	0	
6	0.150	4	0	5	0	0	0	
6	0.150	0	1	0	2	0	0	
6	0.150	0	1	0	2	0	0	
