bpm	100
14	0.6	0	0	0	0	0	0	0	0
14	0.6	0	0	0	0	0	0	0	0
14	0.6	0	0	0	0	0	0	0	0
14	0.6	0	0	0	0	0	0	0	0
15	0.6	1	0	7	0	0	0	0	0
15	0.6	0	1	0	7	0	0	0	0
15	0.6	1	0	7	0	0	0	0	0
15	0.6	0	1	0	7	0	0	0	0
14	0.6	0	0	0	0	0	0	0	0
14	0.6	0	0	0	0	0	0	0	0
14	0.6	0	0	0	0	0	0	0	0
14	0.6	0	0	0	0	0	0	0	0
15	0.6	2	2	7	0	0	0	0	0
15	0.6	0	2	0	7	0	0	0	0
15	0.6	2	0	7	0	0	0	0	0
15	0.6	0	2	0	7	0	0	0	0
14	0.6	0	0	0	0	0	0	0	0
14	0.6	0	0	0	0	0	0	0	0
14	0.6	0	0	0	0	0	0	0	0
14	0.6	0	0	0	0	0	0	0	0
15	0.6	3	3	7	0	0	0	0	0
15	0.6	0	3	0	7	0	0	0	0
15	0.6	3	0	7	0	0	0	0	0
15	0.6	0	3	0	7	0	0	0	0
14	0.6	0	0	0	0	0	0	0	0
14	0.6	0	0	0	0	0	0	0	0
14	0.6	0	0	0	0	0	0	0	0
14	0.6	0	0	0	0	0	0	0	0
15	0.6	4	4	7	0	0	0	0	0
15	0.6	0	4	0	7	0	0	0	0
15	0.6	4	0	7	0	0	0	0	0
15	0.6	0	4	0	7	0	0	0	0
14	0.6	0	0	0	0	0	0	0	0
14	0.6	0	0	0	0	0	0	0	0
14	0.6	0	0	0	0	0	0	0	0
14	0.6	0	0	0	0	0	0	0	0
15	0.6	5	5	7	0	0	0	0	0
15	0.6	0	5	0	7	0	0	0	0
15	0.6	5	0	7	0	0	0	0	0
15	0.6	0	5	0	7	0	0	0	0
15	0.6	5	0	7	0	0	1	0	0
15	0.6	0	5	0	7	0	1	0	0
15	0.6	5	0	7	0	0	1	0	0
15	0.6	0	5	0	7	0	1	0	0
14	0.6	0	0	0	0	0	0	0	0
14	0.6	0	0	0	0	0	0	0	0
14	0.6	0	0	0	0	0	0	0	0
14	0.6	0	0	0	0	0	0	0	0
15	0.6	6	0	7	0	0	0	0	0
15	0.6	0	6	0	7	0	0	0	0
15	0.6	6	0	7	0	0	0	0	0
15	0.6	0	6	0	7	0	0	0	0
14	0.6	0	0	0	0	0	0	0	0
14	0.6	0	0	0	0	0	0	0	0
14	0.6	0	0	0	0	0	0	0	0
14	0.6	0	0	0	0	0	0	0	0
15	0.6	7	7	7	0	0	0	0	0
15	0.6	0	7	0	7	0	0	0	0
15	0.6	7	0	7	0	0	0	0	0
15	0.6	0	7	0	7	0	0	0	0
14	0.6	0	0	0	0	0	0	0	0
14	0.6	0	0	0	0	0	0	0	0
14	0.6	0	0	0	0	0	0	0	0
14	0.6	0	0	0	0	0	0	0	0
15	0.6	8	8	7	0	0	0	0	0
15	0.6	0	8	0	7	0	0	0	0
15	0.6	8	0	7	0	0	0	0	0
15	0.6	0	8	0	7	0	0	0	0
end	100
