frame_idx,marker_id,world_x,world_y,world_z,c_x,c_y
0,1,-0.591275,0.0800546,0.479352633353
0,4,-0.351464,0.00368411,0.0692019308326
0,3,-0.434426,0.00420118,0.0713615368319
0,0,-0.58838,-0.00338138,0.583016688270
0,2,-0.508362,-0.122572,0.154304429224
1,1,-0.59153,0.080142,0.479053633353
1,4,-0.349453,0.00332346,0.0715605308326
1,3,-0.435761,0.00431699,0.0690235368319
1,0,-0.588493,-0.00333002,0.58289688270
1,2,-0.510074,-0.122499,0.151807429224
2,1,-0.59208,0.08019,0.478366633353
2,4,-0.3534,0.0039976,0.0675155308326
2,3,-0.433888,0.00403006,0.0713519368319
2,0,-0.588131,-0.00350988,0.583382688270
2,2,-0.50822,-0.122622,0.154356429224
3,1,-0.591354,0.0800644,0.479262633353
3,4,-0.352005,0.00373727,0.0684546308326
3,3,-0.432627,0.0038284,0.0729182368319
3,0,-0.5881,-0.00347984,0.583361688270
3,2,-0.506864,-0.122905,0.155745429224
4,1,-0.592229,0.0802397,0.478235633353
4,4,-0.353865,0.00404088,0.0660111308326
4,3,-0.434755,0.00414773,0.0703633368319
4,0,-0.588124,-0.00345778,0.583343688270
4,2,-0.508908,-0.122579,0.153366429224
5,1,-0.592066,0.0801951,0.47846633353
5,4,-0.350324,0.00343563,0.0700433308326
5,3,-0.432526,0.00370394,0.0724028368319
5,0,-0.588319,-0.00337074,0.583071688270
5,2,-0.509229,-0.122629,0.152767429224
6,1,-0.592802,0.0803185,0.477571633353
6,4,-0.349379,0.00329463,0.071705308326
6,3,-0.434077,0.00406809,0.0710952368319
6,0,-0.58843,-0.00340208,0.583003688270
6,2,-0.508519,-0.12243,0.154209429224
7,1,-0.592097,0.0802036,0.478435633353
7,4,-0.351491,0.00365398,0.0687432308326
7,3,-0.432705,0.00386074,0.0728793368319
7,0,-0.588149,-0.00351741,0.583381688270
7,2,-0.508846,-0.122641,0.153334429224
8,1,-0.592939,0.0803359,0.477427633353
8,4,-0.349791,0.00330555,0.0702566308326
8,3,-0.43411,0.00402184,0.0710111368319
8,0,-0.588278,-0.00350511,0.583228688270
8,2,-0.507993,-0.122819,0.154248429224
9,1,-0.592445,0.0802441,0.477997633353
9,4,-0.351659,0.00366354,0.0691015308326
9,3,-0.432829,0.00387779,0.0728974368319
9,0,-0.58832,-0.00341451,0.583114688270
9,2,-0.509166,-0.122533,0.153106429224
10,1,-0.591283,0.0800746,0.479361633353
10,4,-0.351878,0.00366747,0.0674861308326
10,3,-0.434074,0.00398997,0.0708693368319
10,0,-0.588555,-0.00347919,0.582922688270
10,2,-0.508054,-0.123026,0.153694429224
11,1,-0.591966,0.0801899,0.478573633353
11,4,-0.350782,0.00354448,0.0700284308326
11,3,-0.433614,0.00394989,0.0715819368319
11,0,-0.588528,-0.00341251,0.582926688270
