id,tl_x,tl_y,tr_x,tr_y,bl_x,bl_y,br_x,br_y
1,655.625,374.777,617.169,383.802,650.932,324.143,609.43,330.2
4,327.593,302.636,334.193,344.434,280.413,306.587,288.173,350.346
3,391.712,337.223,350.581,342.386,385.712,297.497,343.703,300.781
0,712.284,297.573,670.353,302.769,705.761,239.321,662.484,240.985
2,452.022,244.504,412.136,245.547,446.756,203.63,406.113,202.787
