time,note,velocity
0.1592,42,20
0.5084,42,29
0.8173,42,21
1.025,42,20
1.3444,42,23
1.5363,42,13
1.8545,42,53
2.226,42,17
2.6247,42,53
2.6248,51,67
3.1221,42,13
3.2937,51,59
3.6475,42,17
3.6476,51,33
4.0087,51,29
4.3381,51,25
4.6888,42,10
4.689,51,26
