cluster_id,original_time,note,velocity
0,0.0,42,13
1,0.4423,41,14
2,0.9345,42,19
3,1.4474,42,29
4,2.029,42,10
5,2.5801,42,20
6,3.0998,42,16
7,3.6281,42,16
8,4.1259,42,18
9,4.6673,42,14
