cluster_id,original_time,note,velocity
0,0.1592,42,20
1,0.5084,42,29
2,0.8173,42,21
3,1.025,42,20
4,1.3444,42,23
5,1.5363,42,13
6,1.8545,42,53
7,2.226,42,17
8,2.6247,42,53
8,2.6248,51,67
9,3.1221,42,13
10,3.2937,51,59
11,3.6475,42,17
11,3.6476,51,33
12,4.0087,51,29
13,4.3381,51,25
14,4.6888,42,10
14,4.689,51,26
