time,note,velocity
0.3955,42,17
0.9375,42,21
1.4503,42,20
1.9076,42,13
2.0377,42,4
2.5127,42,7
3.0026,42,12
3.4257,42,8
3.8149,42,8
4.214,42,8
4.5987,42,13
