cluster_id,original_time,note,velocity
0,0.3955,42,17
1,0.9375,42,21
2,1.4503,42,20
3,1.9076,42,13
4,2.0377,42,4
5,2.5127,42,7
6,3.0026,42,12
7,3.4257,42,8
8,3.8149,42,8
9,4.214,42,8
10,4.5987,42,13
