Duration,ID,Velocity,Time
0.0,38,79,0.0
0.6,38,86,0.6
0.6,38,82,1.2
0.6,38,84,1.8
0.6,0,0,2.4
0.6,0,0,3.0
0.6,0,0,3.5999999999999996
0.6,0,0,4.2
0.6,43,77,4.8
0.6,43,79,5.4
0.6,43,73,6.0
0.6,43,60,6.6
0.6,0,0,7.199999999999999
0.6,0,0,7.8
0.6,0,0,8.399999999999999
0.6,0,0,9.0
0.6,45,78,9.6
0.6,45,85,10.2
0.15,51,15,10.35
0.3,51,16,10.65
0.15,45,72,10.8
0.6,45,84,11.4
0.6,0,0,12.0
0.6,0,0,12.6
0.6,0,0,13.2
0.6,0,0,13.8
0.6,48,80,14.4
0.6,48,104,15.0
0.6,48,80,15.6
0.6,48,108,16.2
0.6,0,0,16.8
0.6,0,0,17.4
0.6,0,0,18.0
0.6,0,0,18.599999999999998
0.6,26,127,19.2
0.6,26,127,19.8
0.6,26,127,20.4
0.6,26,127,21.0
0.6,26,124,21.6
0.6,26,127,22.2
0.6,26,119,22.8
0.6,26,127,23.4
0.6,0,0,24.0
0.6,0,0,24.599999999999998
0.6,0,0,25.2
0.6,0,0,25.799999999999997
0.6,51,127,26.4
0.6,51,91,27.0
0.6,51,110,27.6
0.6,51,90,28.2
0.6,0,0,28.8
0.6,0,0,29.4
0.6,0,0,30.0
0.6,0,0,30.599999999999998
0.6,57,109,31.2
0.6,57,127,31.8
0.6,57,107,32.4
0.6,57,127,33.0
0.6,0,0,33.6
0.6,0,0,34.2
0.6,0,0,34.8
0.6,0,0,35.4
0.6,49,96,36.0
0.6,49,127,36.6
0.6,49,91,37.2
0.6,49,127,37.8
